"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","98.04","94.98","98.04","93.94","2.72M","3.31%"
"2022년 10월","94.90","96.89","97.55","93.20","156.65M","-1.49%"
"2022년 9월","96.34","100.07","100.67","95.38","167.48M","-4.34%"
"2022년 8월","100.71","103.99","104.35","100.64","137.15M","-3.23%"
"2022년 7월","104.07","102.21","104.39","101.16","129.14M","2.35%"
"2022년 6월","101.68","103.39","103.53","98.86","164.20M","-1.73%"
"2022년 5월","103.47","102.32","104.31","101.47","209.53M","0.58%"
"2022년 4월","102.87","106.35","106.95","102.67","186.59M","-3.95%"
"2022년 3월","107.10","110.60","111.17","105.97","264.02M","-2.95%"
"2022년 2월","110.36","111.66","111.97","109.10","182.62M","-1.29%"
"2022년 1월","111.80","113.67","113.68","111.36","177.04M","-2.00%"
"2021년 12월","114.08","114.27","115.24","113.81","168.25M","-0.60%"
"2021년 11월","114.77","114.16","115.50","113.39","143.91M","0.11%"
"2021년 10월","114.64","114.82","115.06","113.84","116.30M","-0.17%"
"2021년 9월","114.83","116.02","116.38","114.69","105.45M","-1.06%"
"2021년 8월","116.06","116.36","116.83","115.34","109.57M","-0.34%"
"2021년 7월","116.46","115.15","116.82","115.01","125.91M","0.98%"
"2021년 6월","115.33","114.36","115.45","113.97","124.15M","0.68%"
"2021년 5월","114.55","114.40","114.97","113.78","109.59M","0.05%"
"2021년 4월","114.49","113.93","115.13","113.69","114.09M","0.58%"
"2021년 3월","113.83","114.97","115.59","113.20","152.17M","-1.31%"
"2021년 2월","115.34","117.20","117.26","114.20","115.45M","-1.68%"
"2021년 1월","117.31","118.08","118.14","116.56","129.57M","-0.74%"
