"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","37.77","34.90","39.16","34.28","19.99M","10.47%"
"2022년 10월","34.19","35.12","36.76","33.49","847.98M","-1.98%"
"2022년 9월","34.88","39.05","39.64","34.72","950.78M","-11.54%"
"2022년 8월","39.43","39.55","41.20","39.14","739.28M","-1.33%"
"2022년 7월","39.96","39.62","40.26","38.05","759.29M","-0.35%"
"2022년 6월","40.10","42.91","43.23","39.26","998.49M","-5.96%"
"2022년 5월","42.64","42.26","43.17","38.94","1.16B","0.61%"
"2022년 4월","42.38","46.01","46.78","41.15","970.80M","-6.14%"
"2022년 3월","45.15","46.50","46.85","40.80","1.61B","-3.38%"
"2022년 2월","46.73","49.02","50.11","45.01","922.70M","-4.32%"
"2022년 1월","48.84","49.08","50.89","46.66","977.55M","-0.02%"
"2021년 12월","48.85","49.61","50.42","47.15","961.45M","0.02%"
"2021년 11월","48.84","50.89","52.14","48.35","791.63M","-4.08%"
"2021년 10월","50.92","50.37","52.62","49.11","774.05M","1.07%"
"2021년 9월","50.38","52.73","53.58","49.57","823.63M","-3.87%"
"2021년 8월","52.41","52.05","52.79","49.11","792.62M","1.57%"
"2021년 7월","51.60","55.18","55.24","49.83","748.21M","-6.44%"
"2021년 6월","55.15","56.14","56.17","53.85","669.95M","0.51%"
"2021년 5월","54.87","53.94","55.00","51.74","715.32M","1.65%"
"2021년 4월","53.98","54.12","55.34","53.06","741.55M","1.20%"
"2021년 3월","53.34","54.82","55.33","51.51","1.21B","-0.73%"
"2021년 2월","53.73","54.42","58.29","53.39","740.36M","0.79%"
"2021년 1월","53.31","52.62","56.54","51.83","887.35M","3.17%"
