"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","66.62","59.87","66.75","58.06","10.93M","12.33%"
"2022년 10월","59.31","56.59","60.25","54.61","584.99M","5.89%"
"2022년 9월","56.01","60.80","63.58","55.22","578.47M","-9.22%"
"2022년 8월","61.70","65.70","66.77","61.68","385.10M","-6.12%"
"2022년 7월","65.72","61.71","65.76","59.54","408.54M","5.17%"
"2022년 6월","62.49","70.42","70.73","61.12","613.96M","-10.74%"
"2022년 5월","70.01","68.39","70.47","64.63","722.12M","2.00%"
"2022년 4월","68.64","74.06","74.62","68.07","593.37M","-6.74%"
"2022년 3월","73.60","72.91","75.38","66.54","830.49M","0.52%"
"2022년 2월","73.22","76.29","77.90","70.98","727.53M","-3.43%"
"2022년 1월","75.82","79.14","80.04","73.53","782.11M","-3.63%"
"2021년 12월","78.68","77.89","79.68","76.00","635.18M","2.39%"
"2021년 11월","76.84","80.95","82.00","76.17","403.70M","-4.53%"
"2021년 10월","80.49","78.05","81.02","76.43","459.41M","3.18%"
"2021년 9월","78.01","81.26","82.29","77.82","570.97M","-3.26%"
"2021년 8월","80.64","80.14","81.45","78.82","363.68M","1.45%"
"2021년 7월","79.49","78.89","80.12","76.48","464.22M","0.77%"
"2021년 6월","78.88","81.50","82.11","78.43","425.43M","-2.41%"
"2021년 5월","80.83","78.75","81.14","77.41","441.36M","3.48%"
"2021년 4월","78.11","76.26","79.42","76.21","377.89M","2.95%"
"2021년 3월","75.87","74.90","77.06","73.56","521.76M","2.51%"
"2021년 2월","74.01","73.28","77.17","72.93","374.57M","2.24%"
"2021년 1월","72.39","74.39","75.75","72.00","435.54M","-0.78%"
