"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","81.19","80.99","81.30","80.56","4.37M","0.23%"
"2022년 10월","81.00","81.27","81.41","80.73","115.35M","-0.26%"
"2022년 9월","81.21","82.14","82.34","81.00","135.53M","-1.31%"
"2022년 8월","82.29","82.96","82.98","82.25","130.11M","-0.92%"
"2022년 7월","83.05","82.92","83.10","82.34","150.45M","0.31%"
"2022년 6월","82.79","83.24","83.27","81.94","139.33M","-0.67%"
"2022년 5월","83.35","82.87","83.53","82.67","130.40M","0.54%"
"2022년 4월","82.90","83.13","83.46","82.76","122.23M","-0.54%"
"2022년 3월","83.35","84.71","84.86","83.23","109.47M","-1.43%"
"2022년 2월","84.56","84.94","84.97","84.19","102.47M","-0.46%"
"2022년 1월","84.95","85.45","85.49","84.90","108.23M","-0.69%"
"2021년 12월","85.54","85.67","85.75","85.47","74.78M","-0.29%"
"2021년 11월","85.79","85.79","86.00","85.62","62.17M","-0.07%"
"2021년 10월","85.85","86.16","86.18","85.76","69.92M","-0.35%"
"2021년 9월","86.15","86.24","86.25","86.09","41.11M","-0.12%"
"2021년 8월","86.25","86.29","86.34","86.15","39.84M","-0.04%"
"2021년 7월","86.29","86.14","86.29","86.12","48.10M","0.15%"
"2021년 6월","86.16","86.29","86.32","86.06","59.50M","-0.19%"
"2021년 5월","86.32","86.25","86.33","86.24","57.10M","0.05%"
"2021년 4월","86.28","86.23","86.29","86.18","45.94M","0.03%"
"2021년 3월","86.25","86.29","86.31","86.21","70.43M","-0.08%"
"2021년 2월","86.32","86.38","86.38","86.17","59.58M","-0.09%"
"2021년 1월","86.40","86.37","86.41","86.32","54.27M","0.02%"
