"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","91.47","91.43","91.60","91.33","142.22M","-0.22%"
"2022년 11월","91.67","91.41","91.67","91.39","125.05M","0.09%"
"2022년 10월","91.59","91.45","91.61","91.42","133.21M","-0.01%"
"2022년 9월","91.60","91.43","91.60","91.42","133.69M","0.05%"
"2022년 8월","91.55","91.37","91.55","91.37","138.79M","0.09%"
"2022년 7월","91.47","91.43","91.48","91.40","138.23M","-0.02%"
"2022년 6월","91.49","91.44","91.49","91.41","127.56M","0.04%"
"2022년 5월","91.45","91.44","91.48","91.42","123.25M","0.03%"
"2022년 4월","91.42","91.42","91.44","91.41","76.05M","-0.01%"
"2022년 3월","91.43","91.42","91.43","91.40","90.89M","0.02%"
"2022년 2월","91.41","91.41","91.43","91.40","90.52M","-0.02%"
"2022년 1월","91.43","91.43","91.43","91.41","74.43M","0.00%"
"2021년 12월","91.43","91.44","91.44","91.42","25.72M","0.00%"
