"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","105.43","107.83","110.88","105.17","8.53M","-2.16%"
"2022년 11월","107.76","102.10","107.88","100.01","416.28M","6.32%"
"2022년 10월","101.35","103.61","105.12","98.41","435.07M","-1.07%"
"2022년 9월","102.45","108.19","109.25","101.40","449.89M","-6.24%"
"2022년 8월","109.27","114.38","114.98","109.21","418.20M","-4.66%"
"2022년 7월","114.61","110.66","115.07","109.71","350.61M","4.16%"
"2022년 6월","110.03","114.66","114.90","107.10","441.12M","-3.85%"
"2022년 5월","114.44","111.69","115.66","110.18","429.56M","1.63%"
"2022년 4월","112.60","120.06","121.55","112.38","415.40M","-6.90%"
"2022년 3월","120.94","124.84","125.83","118.40","499.99M","-3.09%"
"2022년 2월","124.80","127.59","128.30","122.22","421.00M","-2.32%"
"2022년 1월","127.76","131.78","131.79","126.85","364.83M","-3.59%"
"2021년 12월","132.52","132.77","134.56","131.48","292.48M","-0.41%"
