"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 01","406.48","384.37","408.16","377.83","1.57B","6.29%"
"2022- 12- 01","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"2022- 11- 01","407.68","390.14","407.68","368.79","1.74B","5.56%"
"2022- 10- 01","386.21","361.08","389.52","348.11","2.02B","8.13%"
"2022- 09- 01","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"2022- 08- 01","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"2022- 07- 01","411.99","376.56","413.03","371.04","1.44B","9.21%"
"2022- 06- 01","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"2022- 05- 01","412.93","412.07","429.66","380.54","2.42B","0.23%"
"2022- 04- 01","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"2022- 03- 01","451.64","435.04","462.07","415.12","2.38B","3.44%"
"2022- 02- 01","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"2022- 01- 01","449.91","476.30","479.98","420.76","2.49B","-5.27%"
