"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 01","91.82","91.47","91.85","91.46","228.49M","0.12%"
"2023- 02- 01","91.71","91.42","91.71","91.40","145.84M","-0.02%"
"2023- 01- 01","91.73","91.48","91.74","91.47","139.45M","0.28%"
"2022- 12- 01","91.47","91.43","91.60","91.33","142.22M","-0.22%"
"2022- 11- 01","91.67","91.41","91.67","91.39","125.05M","0.09%"
"2022- 10- 01","91.59","91.45","91.61","91.42","133.21M","-0.01%"
"2022- 09- 01","91.60","91.43","91.60","91.42","133.69M","0.05%"
"2022- 08- 01","91.55","91.37","91.55","91.37","138.79M","0.09%"
"2022- 07- 01","91.47","91.43","91.48","91.40","138.23M","-0.02%"
"2022- 06- 01","91.49","91.44","91.49","91.41","127.56M","0.04%"
"2022- 05- 01","91.45","91.44","91.48","91.42","123.25M","0.03%"
"2022- 04- 01","91.42","91.42","91.44","91.41","76.05M","-0.01%"
"2022- 03- 01","91.43","91.42","91.43","91.40","90.89M","0.02%"
"2022- 02- 01","91.41","91.41","91.43","91.40","90.52M","-0.02%"
"2022- 01- 01","91.43","91.43","91.43","91.41","74.43M","0.00%"
"2021- 12- 01","91.43","91.44","91.44","91.42","25.72M","0.00%"
"2021- 11- 01","91.43","91.44","91.45","91.43","21.17M","-0.02%"
"2021- 10- 01","91.45","91.46","91.46","91.43","18.01M","-0.01%"
"2021- 09- 01","91.46","91.46","91.47","91.44","31.24M","0.01%"
"2021- 08- 01","91.45","91.46","91.47","91.45","20.43M","-0.01%"
"2021- 07- 01","91.46","91.47","91.48","91.46","19.78M","-0.01%"
"2021- 06- 01","91.47","91.48","91.49","91.47","19.36M","-0.02%"
"2021- 05- 01","91.49","91.49","91.50","91.48","26.96M","-0.01%"
"2021- 04- 01","91.50","91.51","91.51","91.49","25.68M","0.00%"
