"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 01","99.12","95.13","100.58","94.41","6.33M","3.51%"
"2023- 02- 01","95.76","99.20","100.20","95.32","10.76M","-3.48%"
"2023- 01- 01","99.21","95.78","100.06","95.78","2.54M","3.58%"
"2022- 12- 01","95.78","97.60","99.26","95.61","113.74M","-1.87%"
"2022- 11- 01","97.61","94.96","97.61","93.07","109.91M","3.39%"
"2022- 10- 01","94.41","96.72","97.69","92.48","133.15M","-1.65%"
"2022- 09- 01","95.99","100.09","100.79","94.51","132.42M","-4.90%"
"2022- 08- 01","100.94","105.29","105.75","100.77","142.58M","-4.02%"
"2022- 07- 01","105.17","103.12","105.57","101.37","204.03M","2.81%"
"2022- 06- 01","102.30","103.26","103.37","97.99","126.70M","-0.99%"
"2022- 05- 01","103.32","102.15","104.59","100.99","144.94M","0.50%"
"2022- 04- 01","102.81","106.31","107.01","102.27","158.74M","-4.34%"
"2022- 03- 01","107.47","112.60","113.49","105.97","253.56M","-4.15%"
"2022- 02- 01","112.12","112.50","112.81","109.92","204.17M","-0.40%"
"2022- 01- 01","112.57","114.37","114.41","111.69","243.87M","-2.11%"
"2021- 12- 01","115.00","115.30","116.64","114.67","210.79M","-0.69%"
"2021- 11- 01","115.80","114.22","116.14","113.50","246.32M","1.02%"
"2021- 10- 01","114.63","115.36","115.67","113.63","187.00M","-0.51%"
"2021- 09- 01","115.22","117.25","117.52","114.72","156.34M","-1.66%"
"2021- 08- 01","117.17","117.82","118.63","116.43","160.91M","-0.46%"
"2021- 07- 01","117.71","115.38","118.52","115.17","160.68M","1.92%"
"2021- 06- 01","115.49","114.19","115.79","114.05","133.96M","0.95%"
"2021- 05- 01","114.40","113.96","114.95","113.47","152.87M","0.36%"
"2021- 04- 01","113.99","113.21","114.76","112.80","148.73M","0.94%"
