"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 01","82.16","80.76","82.74","80.48","6.45M","1.44%"
"2023- 02- 01","80.99","81.64","81.86","80.94","4.19M","-0.99%"
"2023- 01- 01","81.80","81.17","81.89","81.15","6.44M","0.78%"
"2022- 12- 01","81.17","81.29","81.62","81.16","121.32M","-0.31%"
"2022- 11- 01","81.42","80.98","81.42","80.56","125.57M","0.52%"
"2022- 10- 01","81.00","81.27","81.41","80.73","115.35M","-0.26%"
"2022- 09- 01","81.21","82.14","82.34","81.00","135.53M","-1.31%"
"2022- 08- 01","82.29","82.96","82.98","82.25","130.11M","-0.92%"
"2022- 07- 01","83.05","82.92","83.10","82.34","150.45M","0.31%"
"2022- 06- 01","82.79","83.24","83.27","81.94","139.33M","-0.67%"
"2022- 05- 01","83.35","82.87","83.53","82.67","130.40M","0.54%"
"2022- 04- 01","82.90","83.13","83.46","82.76","122.23M","-0.54%"
"2022- 03- 01","83.35","84.71","84.86","83.23","109.47M","-1.43%"
"2022- 02- 01","84.56","84.94","84.97","84.19","102.47M","-0.46%"
"2022- 01- 01","84.95","85.45","85.49","84.90","108.23M","-0.69%"
"2021- 12- 01","85.54","85.67","85.75","85.47","74.78M","-0.29%"
"2021- 11- 01","85.79","85.79","86.00","85.62","62.17M","-0.07%"
"2021- 10- 01","85.85","86.16","86.18","85.76","69.92M","-0.35%"
"2021- 09- 01","86.15","86.24","86.25","86.09","41.11M","-0.12%"
"2021- 08- 01","86.25","86.29","86.34","86.15","39.84M","-0.04%"
"2021- 07- 01","86.29","86.14","86.29","86.12","48.10M","0.15%"
"2021- 06- 01","86.16","86.29","86.32","86.06","59.50M","-0.19%"
"2021- 05- 01","86.32","86.25","86.33","86.24","57.10M","0.05%"
"2021- 04- 01","86.28","86.23","86.29","86.18","45.94M","0.03%"
